ntt,panasonic,kddi,hitachi,fujitsu,cyberagent,softbank,sony,rakuten
社長メッセージ,（パナソニックグループについて）経営理念,2022年版がまだ公開されていない。,（introduction）編集方針,2022年版がまだ公開されてない。,2022年版がまだ公開されてない。,統合報告書の発行にあたって,Sony's Purpose & Values,2022年版がまだ公開されてない。
（価値創造ストーリー）NTT at a glance,（パナソニックグループについて）パナソニックグループのこれまでと現在,,（introduction）ステークホルダーの皆様へ-統合報告書公開にあたって,,,ソフトバンクグループ経営理念,CEOメッセージ,
（価値創造ストーリー）価値創造プロセス,（パナソニックグループについて）At a Glance,,（What's Hitachi）日立の歴史,,,Cover Story ソフトバンクの挑戦,特集：コンテンツ価値向上と感動空間での新しいエンタテインメント体験の創出,
（成長戦略）中長期成長戦略,（トップメッセージ）グループCEOメッセージ,,（What's Hitachi）過去中期経営計画の振り返り,,,（Section1 どのような価値を創造するのか）CEOメッセージ,価値創造モデル,
（成長戦略）CFOメッセージ,（中長期戦略）価値創造プロセス,,（What's Hitachi）サステナブル経営の推進,,,（Section1 どのような価値を創造するのか）CFOメッセージ,創出価値,
（成長戦略）CTOメッセージ,（中長期戦略）報告セグメント別　中長期戦略の概要,,（What's Hitachi）日立グループの事業,,,（Section1 どのような価値を創造するのか）経営陣とIR部門の連携,価値創造のドライバー,
（成長戦略）Research & Development　企業の価値向上に貢献するR&D,（中長期戦略）オペレーション力徹底強化の取り組み,,（What's Hitachi）グローバル事業構成,,,（Section1 どのような価値を創造するのか）価値創造プロセス,CFOメッセージ,
（成長戦略）セグメント別営業概況,（機能別戦略）グループCFOメッセージ,,（Value Creation）CEOメッセージ,,,（Section1 どのような価値を創造するのか）競争優位の源泉（インプット）,パフォーマンスハイライト,
（NTTグループのサステナビリティ）NTTが考える持続可能な社会,（ESG）取締役会議長メッセージ,,（Value Creation）ステークホルダーとの価値創造ストーリー,,,（Section1 どのような価値を創造するのか）マテリアリティ,サステナビリティ,
（NTTグループのサステナビリティ）環境負荷の削減,（ESG）社外取締役メッセージ,,（Value Creation）マテリアリティ,,,（Section2 どのように価値を創造するのか）（ソフトバンクが成長するために重要な6つのポイント）通信量値下げの影響は？,（事業ごとの価値創造）事業責任者メッセージ,
（NTTグループのサステナビリティ）災害対策の強化,（ESG）（コーポレート・ガバナンス）体制と取り組み,,（Value Creation）価値創造プロセス,,,（Section2 どのように価値を創造するのか）（ソフトバンクが成長するために重要な6つのポイント）法人事業の成長の背景は？,（事業ごとの価値創造）各事業分野の特性,
（NTTグループのサステナビリティ）セキュリティの強化,（ESG）（コーポレート・ガバナンス）取締役会・監査役会の構成,,（Value Creation）（2024中期経営計画）デジタル戦略,,,（Section2 どのように価値を創造するのか）（ソフトバンクが成長するために重要な6つのポイント）「Yahoo! JAPAN」「LINE」「PayPay」とのシナジーは？,（事業ごとの価値創造）ゲーム＆ネットワークサービス,
（NTTグループのサステナビリティ）Well-beingの最大化,（ESG）（コーポレート・ガバナンス）取締役・監査役・執行役員,,（Value Creation）（2024中期経営計画）クリーン戦略,,,（Section2 どのように価値を創造するのか）（ソフトバンクが成長するために重要な6つのポイント）「PayPay」の今後の展開は？,（事業ごとの価値創造）音楽,
（NTTグループのサステナビリティ）コーポレート・ガバナンス,（ESG）人権の尊重の取り組み,,（Value Creation）（2024中期経営計画）イノベーション戦略,,,（Section2 どのように価値を創造するのか）（ソフトバンクが成長するために重要な6つのポイント）ソフトバンクの技術戦略とは？,（事業ごとの価値創造）映画,
